panel-przyd,widz,wiek1,prez2-przyd,panel-future,znajomosc,meetup,freq2,prez1-przyd,druk,temat,freq1,sex,prez2-przyst,prez1-przyst,wiek2,skad,cel,ang,panel-przyst
,"Tak, na żywo",,4,,,007,,5,,"Dobra robota. Bez piwa też się da, dzięki ",,Mężczyzna,5,4,25-30,na facebooku,,,
,"Tak, na żywo",,5,,,007,,5,,"nie wiem, może coś o data science, machine learningu i ich zastosowaniach?",,Kobieta,5,5,31-40,na facebooku,,,
,"Tak, na żywo",,5,,,007,,5,,Praca z bazami danych,,Kobieta,5,5,25-30,na facebooku,,,
,"Tak, na żywo",,5,,,007,,4,,,,Mężczyzna,4,5,25-30,od znajomego,,,
,"Tak, na żywo",,3,,,007,,5,,,,Mężczyzna,5,5,25-30,na meetup.com,,,
,"Tak, na żywo",,3,,,008,1-3,5,,"Dziękuję za Wasze czas i poświęcenie. Fajnie byłoby usłyszeć kilka historii ludzi którzy zaczęli niedawno programować, szczególnie powodów, drogi jaką musieli przejść do juniora i jak oceniają swoją decyzję już z perspektywy programisty.",,Mężczyzna,2,5,25-30,Szukałem tego typu wydarzeń w google,,,
,"Tak, na żywo",,2,,,008,To moje pierwsze!,4,,Class-based views w Django?,,Mężczyzna,2,5,25-30,na meetup.com,,,
,"Tak, na żywo",,1,,,008,więcej niż 3,5,,,,Kobieta,1,5,25-30,na facebooku,,,
,"Tak, na żywo",,5,,,008,To moje pierwsze!,5,,,,Kobieta,5,5,25-30,na meetup.com,,,
,"Tak, na żywo",,3,,,008,więcej niż 3,4,,,,Mężczyzna,3,4,18-24,na facebooku,,,
,"Tak, na żywo",,2,,,008,1-3,4,,,,Kobieta,2,4,25-30,od znajomego,,,
,"Tak, na żywo",,4,,,008,więcej niż 3,4,,Było super :),,Kobieta,3,5,25-30,od kogoś z teamu PyLight,,,
,"Tak, na żywo",,4,,,008,To moje pierwsze!,5,,Analiza danych z biblioteką pandas. Django dla początkujących.,,Mężczyzna,4,4,31-40,na facebooku,,,
,"Tak, na żywo",,4,,,008,To moje pierwsze!,2,,,,Kobieta,4,5,25-30,Szkola programowania,,,
,"Tak, na żywo",,5,,,008,To moje pierwsze!,5,,,,Mężczyzna,3,5,25-30,od znajomego,,,
,"Tak, na Youtube",,3,,,008,1-3,5,,"Marzy mi się cykl o Django. Wszystkie elementy krok po kroku, np. Różnice w bazach danych i ich sposób podłączania, widoki oparte na klasach vs. widoki oparte na funkcjach (kiedy, jakie stosować), formularze, django rest api, integracje django z fb, twitterem, google, google calendar, własne filtry, własne tagi, wrzucanie na produkcję itp. Każdy punkt oddzielnie, a dokładniej z przykładami z życia :) A to dla tego, że właśnie intensywnie dokształcam się w django :) I brawo dla całego zespołu. Robicie duuuużo dobrego :)",,Kobieta,3,5,31-40,na facebooku,,,
,"Tak, na żywo",,5,,,008,To moje pierwsze!,1,,,,Mężczyzna,5,3,25-30,na spotkaniu PyWaw,,,
,"Tak, na żywo",,4,,,008,To moje pierwsze!,3,,Super organizacja ;) Będę na każdym następnym ;),,Mężczyzna,4,5,25-30,na meetup.com,,,
,"Tak, na żywo",,3,,,008,1-3,5,,,,,5,5,25-30,na facebooku,,,
,"Tak, na żywo",,3,,,008,więcej niż 3,2,,,,Mężczyzna,3,4,18-24,od znajomego,,,
,"Tak, na żywo",,3,,,008,1-3,2,,"TDD, łączenie pythona z innymi językami. Ogólnie dzięki za super spotkania. Oby tak dalej. Planuję zostać stałym bywalcem;)",,Mężczyzna,3,4,31-40,na facebooku,,,
,"Tak, na żywo",,4,,,008,To moje pierwsze!,4,,,,Mężczyzna,4,5,31-40,na meetup.com,,,
